Puesto,Sueldo,Comodidades,Empresa
"Java developer, AWS","$90,000 - $100,000 Mensual",[],"Manpower, S.A. de C.V."
Fullstack developer (Java),"$70,000 - $72,000 Mensual","['Prestaciones superiores a las de la ley', 'Fondo de ahorro', 'Vales de despensa']","Manpower, S.A. de C.V."
Desarrollador full stack,"$40,000 - $50,000 Mensual",[],DALTON AUTOMOTORES S. ...
Desarrollador Sr - Node js,Sueldo no mostrado por la empresa,[],Computación en Acción
Desarrollador fullstack .net/Angular,Sueldo no mostrado por la empresa,[],"Manpower, S.A. de C.V."
Desarrollador sr - VB 6,Sueldo no mostrado por la empresa,[],Computación en Acción
"Desarrollador java full stack, React",Sueldo no mostrado por la empresa,[],"Manpower, S.A. de C.V."
Senior .NET Full Stack Developer,"$65,000 - $72,000 Mensual","['Prestaciones superiores a las de la ley', 'Fondo de ahorro', 'Plan de carrera y crecimiento']","Manpower, S.A. de C.V."
Business developer/ vendedor de mobiliario cocinas /GDL,"$45,000 Mensual",[],RECLUTAMIENTO E INTEGR...
GERENTE DE VENTAS CALL CENTER,"$40,000 - $47,000 Mensual",[],MAVI DE OCCIDENTE SA D...
Senior Network engineer,"$55,000 - $60,000 Mensual",[],COGNIZANT TECHNOLOGY S...
PROGRAMADOR AWS,"$29,000 - $29,373 Mensual",[],MAVI DE OCCIDENTE SA D...
PROGRAMADOR PWA,"$26,300 Mensual",[],MAVI DE OCCIDENTE SA D...
PROGRAMADOR E-COMMERCE,"$26,300 - $26,373 Mensual",[],MAVI DE OCCIDENTE SA D...
PROGRAMADOR ANALISTA,"$21,000 Mensual","['Fondo de ahorro', 'Vales de despensa', 'Prestaciones superiores a las de la ley']",FORZAC CONCRETOS
DESARROLLADOR E-COMMERCE,"$26,300 Mensual",[],MAVI DE OCCIDENTE SA D...
IOS developer,Sueldo no mostrado por la empresa,[],"Manpower, S.A. de C.V."
Python Developer,"$56,000 Mensual",[],Apex Systems
Desarrollador python,"$35,000 - $40,000 Mensual","['Prestaciones superiores a las de la ley', 'Plan de crecimiento personal y laboral', 'Plan de carrera y crecimiento']",Empresa confidencial
Desarrollador front end,"$26,000 - $26,300 Mensual",[],MAVI DE OCCIDENTE SA D...
"Java developer, AWS","$90,000 - $100,000 Mensual",[],"Manpower, S.A. de C.V."
Fullstack developer (Java),"$70,000 - $72,000 Mensual","['Prestaciones superiores a las de la ley', 'Fondo de ahorro', 'Vales de despensa']","Manpower, S.A. de C.V."
Desarrollador full stack,"$40,000 - $50,000 Mensual",[],DALTON AUTOMOTORES S. ...
Desarrollador Sr - Node js,Sueldo no mostrado por la empresa,[],Computación en Acción
Desarrollador fullstack .net/Angular,Sueldo no mostrado por la empresa,[],"Manpower, S.A. de C.V."
Desarrollador sr - VB 6,Sueldo no mostrado por la empresa,[],Computación en Acción
"Desarrollador java full stack, React",Sueldo no mostrado por la empresa,[],"Manpower, S.A. de C.V."
Senior .NET Full Stack Developer,"$65,000 - $72,000 Mensual","['Prestaciones superiores a las de la ley', 'Fondo de ahorro', 'Plan de carrera y crecimiento']","Manpower, S.A. de C.V."
Business developer/ vendedor de mobiliario cocinas /GDL,"$45,000 Mensual",[],RECLUTAMIENTO E INTEGR...
GERENTE DE VENTAS CALL CENTER,"$40,000 - $47,000 Mensual",[],MAVI DE OCCIDENTE SA D...
Senior Network engineer,"$55,000 - $60,000 Mensual",[],COGNIZANT TECHNOLOGY S...
PROGRAMADOR AWS,"$29,000 - $29,373 Mensual",[],MAVI DE OCCIDENTE SA D...
PROGRAMADOR PWA,"$26,300 Mensual",[],MAVI DE OCCIDENTE SA D...
PROGRAMADOR E-COMMERCE,"$26,300 - $26,373 Mensual",[],MAVI DE OCCIDENTE SA D...
PROGRAMADOR ANALISTA,"$21,000 Mensual","['Fondo de ahorro', 'Vales de despensa', 'Prestaciones superiores a las de la ley']",FORZAC CONCRETOS
DESARROLLADOR E-COMMERCE,"$26,300 Mensual",[],MAVI DE OCCIDENTE SA D...
IOS developer,Sueldo no mostrado por la empresa,[],"Manpower, S.A. de C.V."
Python Developer,"$56,000 Mensual",[],Apex Systems
Desarrollador python,"$35,000 - $40,000 Mensual","['Prestaciones superiores a las de la ley', 'Plan de crecimiento personal y laboral', 'Plan de carrera y crecimiento']",Empresa confidencial
Desarrollador front end,"$26,000 - $26,300 Mensual",[],MAVI DE OCCIDENTE SA D...
"Java developer, AWS","$90,000 - $100,000 Mensual",[],"Manpower, S.A. de C.V."
Fullstack developer (Java),"$70,000 - $72,000 Mensual","['Prestaciones superiores a las de la ley', 'Fondo de ahorro', 'Vales de despensa']","Manpower, S.A. de C.V."
Desarrollador full stack,"$40,000 - $50,000 Mensual",[],DALTON AUTOMOTORES S. ...
Desarrollador Sr - Node js,Sueldo no mostrado por la empresa,[],Computación en Acción
Desarrollador fullstack .net/Angular,Sueldo no mostrado por la empresa,[],"Manpower, S.A. de C.V."
Desarrollador sr - VB 6,Sueldo no mostrado por la empresa,[],Computación en Acción
"Desarrollador java full stack, React",Sueldo no mostrado por la empresa,[],"Manpower, S.A. de C.V."
Senior .NET Full Stack Developer,"$65,000 - $72,000 Mensual","['Prestaciones superiores a las de la ley', 'Fondo de ahorro', 'Plan de carrera y crecimiento']","Manpower, S.A. de C.V."
Business developer/ vendedor de mobiliario cocinas /GDL,"$45,000 Mensual",[],RECLUTAMIENTO E INTEGR...
GERENTE DE VENTAS CALL CENTER,"$40,000 - $47,000 Mensual",[],MAVI DE OCCIDENTE SA D...
Senior Network engineer,"$55,000 - $60,000 Mensual",[],COGNIZANT TECHNOLOGY S...
PROGRAMADOR AWS,"$29,000 - $29,373 Mensual",[],MAVI DE OCCIDENTE SA D...
PROGRAMADOR PWA,"$26,300 Mensual",[],MAVI DE OCCIDENTE SA D...
PROGRAMADOR E-COMMERCE,"$26,300 - $26,373 Mensual",[],MAVI DE OCCIDENTE SA D...
PROGRAMADOR ANALISTA,"$21,000 Mensual","['Fondo de ahorro', 'Vales de despensa', 'Prestaciones superiores a las de la ley']",FORZAC CONCRETOS
DESARROLLADOR E-COMMERCE,"$26,300 Mensual",[],MAVI DE OCCIDENTE SA D...
IOS developer,Sueldo no mostrado por la empresa,[],"Manpower, S.A. de C.V."
Python Developer,"$56,000 Mensual",[],Apex Systems
Desarrollador python,"$35,000 - $40,000 Mensual","['Prestaciones superiores a las de la ley', 'Plan de crecimiento personal y laboral', 'Plan de carrera y crecimiento']",Empresa confidencial
Desarrollador front end,"$26,000 - $26,300 Mensual",[],MAVI DE OCCIDENTE SA D...
"Java developer, AWS","$90,000 - $100,000 Mensual",[],"Manpower, S.A. de C.V."
Fullstack developer (Java),"$70,000 - $72,000 Mensual","['Prestaciones superiores a las de la ley', 'Fondo de ahorro', 'Vales de despensa']","Manpower, S.A. de C.V."
Desarrollador full stack,"$40,000 - $50,000 Mensual",[],DALTON AUTOMOTORES S. ...
Desarrollador Sr - Node js,Sueldo no mostrado por la empresa,[],Computación en Acción
Desarrollador fullstack .net/Angular,Sueldo no mostrado por la empresa,[],"Manpower, S.A. de C.V."
Desarrollador sr - VB 6,Sueldo no mostrado por la empresa,[],Computación en Acción
"Desarrollador java full stack, React",Sueldo no mostrado por la empresa,[],"Manpower, S.A. de C.V."
Senior .NET Full Stack Developer,"$65,000 - $72,000 Mensual","['Prestaciones superiores a las de la ley', 'Fondo de ahorro', 'Plan de carrera y crecimiento']","Manpower, S.A. de C.V."
Business developer/ vendedor de mobiliario cocinas /GDL,"$45,000 Mensual",[],RECLUTAMIENTO E INTEGR...
GERENTE DE VENTAS CALL CENTER,"$40,000 - $47,000 Mensual",[],MAVI DE OCCIDENTE SA D...
Senior Network engineer,"$55,000 - $60,000 Mensual",[],COGNIZANT TECHNOLOGY S...
PROGRAMADOR AWS,"$29,000 - $29,373 Mensual",[],MAVI DE OCCIDENTE SA D...
PROGRAMADOR PWA,"$26,300 Mensual",[],MAVI DE OCCIDENTE SA D...
PROGRAMADOR E-COMMERCE,"$26,300 - $26,373 Mensual",[],MAVI DE OCCIDENTE SA D...
PROGRAMADOR ANALISTA,"$21,000 Mensual","['Fondo de ahorro', 'Vales de despensa', 'Prestaciones superiores a las de la ley']",FORZAC CONCRETOS
DESARROLLADOR E-COMMERCE,"$26,300 Mensual",[],MAVI DE OCCIDENTE SA D...
IOS developer,Sueldo no mostrado por la empresa,[],"Manpower, S.A. de C.V."
Python Developer,"$56,000 Mensual",[],Apex Systems
Desarrollador python,"$35,000 - $40,000 Mensual","['Prestaciones superiores a las de la ley', 'Plan de crecimiento personal y laboral', 'Plan de carrera y crecimiento']",Empresa confidencial
Desarrollador front end,"$26,000 - $26,300 Mensual",[],MAVI DE OCCIDENTE SA D...
"Java developer, AWS","$90,000 - $100,000 Mensual",[],"Manpower, S.A. de C.V."
Fullstack developer (Java),"$70,000 - $72,000 Mensual","['Prestaciones superiores a las de la ley', 'Fondo de ahorro', 'Vales de despensa']","Manpower, S.A. de C.V."
Desarrollador full stack,"$40,000 - $50,000 Mensual",[],DALTON AUTOMOTORES S. ...
Desarrollador Sr - Node js,Sueldo no mostrado por la empresa,[],Computación en Acción
Desarrollador fullstack .net/Angular,Sueldo no mostrado por la empresa,[],"Manpower, S.A. de C.V."
Desarrollador sr - VB 6,Sueldo no mostrado por la empresa,[],Computación en Acción
"Desarrollador java full stack, React",Sueldo no mostrado por la empresa,[],"Manpower, S.A. de C.V."
Senior .NET Full Stack Developer,"$65,000 - $72,000 Mensual","['Prestaciones superiores a las de la ley', 'Fondo de ahorro', 'Plan de carrera y crecimiento']","Manpower, S.A. de C.V."
Business developer/ vendedor de mobiliario cocinas /GDL,"$45,000 Mensual",[],RECLUTAMIENTO E INTEGR...
GERENTE DE VENTAS CALL CENTER,"$40,000 - $47,000 Mensual",[],MAVI DE OCCIDENTE SA D...
Senior Network engineer,"$55,000 - $60,000 Mensual",[],COGNIZANT TECHNOLOGY S...
PROGRAMADOR AWS,"$29,000 - $29,373 Mensual",[],MAVI DE OCCIDENTE SA D...
PROGRAMADOR PWA,"$26,300 Mensual",[],MAVI DE OCCIDENTE SA D...
PROGRAMADOR E-COMMERCE,"$26,300 - $26,373 Mensual",[],MAVI DE OCCIDENTE SA D...
PROGRAMADOR ANALISTA,"$21,000 Mensual","['Fondo de ahorro', 'Vales de despensa', 'Prestaciones superiores a las de la ley']",FORZAC CONCRETOS
DESARROLLADOR E-COMMERCE,"$26,300 Mensual",[],MAVI DE OCCIDENTE SA D...
IOS developer,Sueldo no mostrado por la empresa,[],"Manpower, S.A. de C.V."
Python Developer,"$56,000 Mensual",[],Apex Systems
Desarrollador python,"$35,000 - $40,000 Mensual","['Prestaciones superiores a las de la ley', 'Plan de crecimiento personal y laboral', 'Plan de carrera y crecimiento']",Empresa confidencial
Desarrollador front end,"$26,000 - $26,300 Mensual",[],MAVI DE OCCIDENTE SA D...
"Java developer, AWS","$90,000 - $100,000 Mensual",[],"Manpower, S.A. de C.V."
Fullstack developer (Java),"$70,000 - $72,000 Mensual","['Prestaciones superiores a las de la ley', 'Fondo de ahorro', 'Vales de despensa']","Manpower, S.A. de C.V."
Desarrollador full stack,"$40,000 - $50,000 Mensual",[],DALTON AUTOMOTORES S. ...
Desarrollador Sr - Node js,Sueldo no mostrado por la empresa,[],Computación en Acción
Desarrollador fullstack .net/Angular,Sueldo no mostrado por la empresa,[],"Manpower, S.A. de C.V."
Desarrollador sr - VB 6,Sueldo no mostrado por la empresa,[],Computación en Acción
"Desarrollador java full stack, React",Sueldo no mostrado por la empresa,[],"Manpower, S.A. de C.V."
Senior .NET Full Stack Developer,"$65,000 - $72,000 Mensual","['Prestaciones superiores a las de la ley', 'Fondo de ahorro', 'Plan de carrera y crecimiento']","Manpower, S.A. de C.V."
Business developer/ vendedor de mobiliario cocinas /GDL,"$45,000 Mensual",[],RECLUTAMIENTO E INTEGR...
GERENTE DE VENTAS CALL CENTER,"$40,000 - $47,000 Mensual",[],MAVI DE OCCIDENTE SA D...
Senior Network engineer,"$55,000 - $60,000 Mensual",[],COGNIZANT TECHNOLOGY S...
PROGRAMADOR AWS,"$29,000 - $29,373 Mensual",[],MAVI DE OCCIDENTE SA D...
PROGRAMADOR PWA,"$26,300 Mensual",[],MAVI DE OCCIDENTE SA D...
PROGRAMADOR E-COMMERCE,"$26,300 - $26,373 Mensual",[],MAVI DE OCCIDENTE SA D...
PROGRAMADOR ANALISTA,"$21,000 Mensual","['Fondo de ahorro', 'Vales de despensa', 'Prestaciones superiores a las de la ley']",FORZAC CONCRETOS
DESARROLLADOR E-COMMERCE,"$26,300 Mensual",[],MAVI DE OCCIDENTE SA D...
IOS developer,Sueldo no mostrado por la empresa,[],"Manpower, S.A. de C.V."
Python Developer,"$56,000 Mensual",[],Apex Systems
Desarrollador python,"$35,000 - $40,000 Mensual","['Prestaciones superiores a las de la ley', 'Plan de crecimiento personal y laboral', 'Plan de carrera y crecimiento']",Empresa confidencial
Desarrollador front end,"$26,000 - $26,300 Mensual",[],MAVI DE OCCIDENTE SA D...
"Java developer, AWS","$90,000 - $100,000 Mensual",[],"Manpower, S.A. de C.V."
Fullstack developer (Java),"$70,000 - $72,000 Mensual","['Prestaciones superiores a las de la ley', 'Fondo de ahorro', 'Vales de despensa']","Manpower, S.A. de C.V."
Desarrollador full stack,"$40,000 - $50,000 Mensual",[],DALTON AUTOMOTORES S. ...
Desarrollador Sr - Node js,Sueldo no mostrado por la empresa,[],Computación en Acción
Desarrollador fullstack .net/Angular,Sueldo no mostrado por la empresa,[],"Manpower, S.A. de C.V."
Desarrollador sr - VB 6,Sueldo no mostrado por la empresa,[],Computación en Acción
"Desarrollador java full stack, React",Sueldo no mostrado por la empresa,[],"Manpower, S.A. de C.V."
Senior .NET Full Stack Developer,"$65,000 - $72,000 Mensual","['Prestaciones superiores a las de la ley', 'Fondo de ahorro', 'Plan de carrera y crecimiento']","Manpower, S.A. de C.V."
Business developer/ vendedor de mobiliario cocinas /GDL,"$45,000 Mensual",[],RECLUTAMIENTO E INTEGR...
GERENTE DE VENTAS CALL CENTER,"$40,000 - $47,000 Mensual",[],MAVI DE OCCIDENTE SA D...
Senior Network engineer,"$55,000 - $60,000 Mensual",[],COGNIZANT TECHNOLOGY S...
PROGRAMADOR AWS,"$29,000 - $29,373 Mensual",[],MAVI DE OCCIDENTE SA D...
PROGRAMADOR PWA,"$26,300 Mensual",[],MAVI DE OCCIDENTE SA D...
PROGRAMADOR E-COMMERCE,"$26,300 - $26,373 Mensual",[],MAVI DE OCCIDENTE SA D...
PROGRAMADOR ANALISTA,"$21,000 Mensual","['Fondo de ahorro', 'Vales de despensa', 'Prestaciones superiores a las de la ley']",FORZAC CONCRETOS
DESARROLLADOR E-COMMERCE,"$26,300 Mensual",[],MAVI DE OCCIDENTE SA D...
IOS developer,Sueldo no mostrado por la empresa,[],"Manpower, S.A. de C.V."
Python Developer,"$56,000 Mensual",[],Apex Systems
Desarrollador python,"$35,000 - $40,000 Mensual","['Prestaciones superiores a las de la ley', 'Plan de crecimiento personal y laboral', 'Plan de carrera y crecimiento']",Empresa confidencial
Desarrollador front end,"$26,000 - $26,300 Mensual",[],MAVI DE OCCIDENTE SA D...
"Java developer, AWS","$90,000 - $100,000 Mensual",[],"Manpower, S.A. de C.V."
Fullstack developer (Java),"$70,000 - $72,000 Mensual","['Prestaciones superiores a las de la ley', 'Fondo de ahorro', 'Vales de despensa']","Manpower, S.A. de C.V."
Desarrollador full stack,"$40,000 - $50,000 Mensual",[],DALTON AUTOMOTORES S. ...
Desarrollador Sr - Node js,Sueldo no mostrado por la empresa,[],Computación en Acción
Desarrollador fullstack .net/Angular,Sueldo no mostrado por la empresa,[],"Manpower, S.A. de C.V."
Desarrollador sr - VB 6,Sueldo no mostrado por la empresa,[],Computación en Acción
"Desarrollador java full stack, React",Sueldo no mostrado por la empresa,[],"Manpower, S.A. de C.V."
Senior .NET Full Stack Developer,"$65,000 - $72,000 Mensual","['Prestaciones superiores a las de la ley', 'Fondo de ahorro', 'Plan de carrera y crecimiento']","Manpower, S.A. de C.V."
Business developer/ vendedor de mobiliario cocinas /GDL,"$45,000 Mensual",[],RECLUTAMIENTO E INTEGR...
GERENTE DE VENTAS CALL CENTER,"$40,000 - $47,000 Mensual",[],MAVI DE OCCIDENTE SA D...
Senior Network engineer,"$55,000 - $60,000 Mensual",[],COGNIZANT TECHNOLOGY S...
PROGRAMADOR AWS,"$29,000 - $29,373 Mensual",[],MAVI DE OCCIDENTE SA D...
PROGRAMADOR PWA,"$26,300 Mensual",[],MAVI DE OCCIDENTE SA D...
PROGRAMADOR E-COMMERCE,"$26,300 - $26,373 Mensual",[],MAVI DE OCCIDENTE SA D...
PROGRAMADOR ANALISTA,"$21,000 Mensual","['Fondo de ahorro', 'Vales de despensa', 'Prestaciones superiores a las de la ley']",FORZAC CONCRETOS
DESARROLLADOR E-COMMERCE,"$26,300 Mensual",[],MAVI DE OCCIDENTE SA D...
IOS developer,Sueldo no mostrado por la empresa,[],"Manpower, S.A. de C.V."
Python Developer,"$56,000 Mensual",[],Apex Systems
Desarrollador python,"$35,000 - $40,000 Mensual","['Prestaciones superiores a las de la ley', 'Plan de crecimiento personal y laboral', 'Plan de carrera y crecimiento']",Empresa confidencial
Desarrollador front end,"$26,000 - $26,300 Mensual",[],MAVI DE OCCIDENTE SA D...
"Java developer, AWS","$90,000 - $100,000 Mensual",[],"Manpower, S.A. de C.V."
Fullstack developer (Java),"$70,000 - $72,000 Mensual","['Prestaciones superiores a las de la ley', 'Fondo de ahorro', 'Vales de despensa']","Manpower, S.A. de C.V."
Desarrollador full stack,"$40,000 - $50,000 Mensual",[],DALTON AUTOMOTORES S. ...
Desarrollador Sr - Node js,Sueldo no mostrado por la empresa,[],Computación en Acción
Desarrollador fullstack .net/Angular,Sueldo no mostrado por la empresa,[],"Manpower, S.A. de C.V."
Desarrollador sr - VB 6,Sueldo no mostrado por la empresa,[],Computación en Acción
"Desarrollador java full stack, React",Sueldo no mostrado por la empresa,[],"Manpower, S.A. de C.V."
Senior .NET Full Stack Developer,"$65,000 - $72,000 Mensual","['Prestaciones superiores a las de la ley', 'Fondo de ahorro', 'Plan de carrera y crecimiento']","Manpower, S.A. de C.V."
Business developer/ vendedor de mobiliario cocinas /GDL,"$45,000 Mensual",[],RECLUTAMIENTO E INTEGR...
GERENTE DE VENTAS CALL CENTER,"$40,000 - $47,000 Mensual",[],MAVI DE OCCIDENTE SA D...
Senior Network engineer,"$55,000 - $60,000 Mensual",[],COGNIZANT TECHNOLOGY S...
PROGRAMADOR AWS,"$29,000 - $29,373 Mensual",[],MAVI DE OCCIDENTE SA D...
PROGRAMADOR PWA,"$26,300 Mensual",[],MAVI DE OCCIDENTE SA D...
PROGRAMADOR E-COMMERCE,"$26,300 - $26,373 Mensual",[],MAVI DE OCCIDENTE SA D...
PROGRAMADOR ANALISTA,"$21,000 Mensual","['Fondo de ahorro', 'Vales de despensa', 'Prestaciones superiores a las de la ley']",FORZAC CONCRETOS
DESARROLLADOR E-COMMERCE,"$26,300 Mensual",[],MAVI DE OCCIDENTE SA D...
IOS developer,Sueldo no mostrado por la empresa,[],"Manpower, S.A. de C.V."
Python Developer,"$56,000 Mensual",[],Apex Systems
Desarrollador python,"$35,000 - $40,000 Mensual","['Prestaciones superiores a las de la ley', 'Plan de crecimiento personal y laboral', 'Plan de carrera y crecimiento']",Empresa confidencial
Desarrollador front end,"$26,000 - $26,300 Mensual",[],MAVI DE OCCIDENTE SA D...
"Java developer, AWS","$90,000 - $100,000 Mensual",[],"Manpower, S.A. de C.V."
Fullstack developer (Java),"$70,000 - $72,000 Mensual","['Prestaciones superiores a las de la ley', 'Fondo de ahorro', 'Vales de despensa']","Manpower, S.A. de C.V."
Desarrollador full stack,"$40,000 - $50,000 Mensual",[],DALTON AUTOMOTORES S. ...
Desarrollador Sr - Node js,Sueldo no mostrado por la empresa,[],Computación en Acción
Desarrollador fullstack .net/Angular,Sueldo no mostrado por la empresa,[],"Manpower, S.A. de C.V."
Desarrollador sr - VB 6,Sueldo no mostrado por la empresa,[],Computación en Acción
"Desarrollador java full stack, React",Sueldo no mostrado por la empresa,[],"Manpower, S.A. de C.V."
Senior .NET Full Stack Developer,"$65,000 - $72,000 Mensual","['Prestaciones superiores a las de la ley', 'Fondo de ahorro', 'Plan de carrera y crecimiento']","Manpower, S.A. de C.V."
Business developer/ vendedor de mobiliario cocinas /GDL,"$45,000 Mensual",[],RECLUTAMIENTO E INTEGR...
GERENTE DE VENTAS CALL CENTER,"$40,000 - $47,000 Mensual",[],MAVI DE OCCIDENTE SA D...
Senior Network engineer,"$55,000 - $60,000 Mensual",[],COGNIZANT TECHNOLOGY S...
PROGRAMADOR AWS,"$29,000 - $29,373 Mensual",[],MAVI DE OCCIDENTE SA D...
PROGRAMADOR PWA,"$26,300 Mensual",[],MAVI DE OCCIDENTE SA D...
PROGRAMADOR E-COMMERCE,"$26,300 - $26,373 Mensual",[],MAVI DE OCCIDENTE SA D...
PROGRAMADOR ANALISTA,"$21,000 Mensual","['Fondo de ahorro', 'Vales de despensa', 'Prestaciones superiores a las de la ley']",FORZAC CONCRETOS
DESARROLLADOR E-COMMERCE,"$26,300 Mensual",[],MAVI DE OCCIDENTE SA D...
IOS developer,Sueldo no mostrado por la empresa,[],"Manpower, S.A. de C.V."
Python Developer,"$56,000 Mensual",[],Apex Systems
Desarrollador python,"$35,000 - $40,000 Mensual","['Prestaciones superiores a las de la ley', 'Plan de crecimiento personal y laboral', 'Plan de carrera y crecimiento']",Empresa confidencial
